timestamp_iso,event_type,frame_latency_ms,fps,cursor_delta_x,cursor_delta_y,ttt_ms
2026-03-24T20:26:30.568,frame,32.596,34.02,0.040386,-0.014873,
2026-03-24T20:26:30.600,frame,15.833,33.78,0.040696,-0.015743,
2026-03-24T20:26:30.624,frame,8.217,34.63,0.040634,-0.015693,
2026-03-24T20:26:30.646,frame,9.708,35.74,0.040221,-0.015074,
2026-03-24T20:26:30.679,frame,27.446,35.15,0.039468,-0.015835,
2026-03-24T20:26:30.729,frame,45.958,33.63,0.03966,-0.016285,
2026-03-24T20:26:30.758,frame,23.852,33.69,0.039042,-0.016325,
2026-03-24T20:26:30.778,frame,7.947,35.42,0.038814,-0.016193,
2026-03-24T20:26:30.792,frame,6.519,38.96,0.039259,-0.016073,
2026-03-24T20:26:30.842,frame,40.526,37.08,0.038838,-0.015764,
2026-03-24T20:26:30.885,frame,34.687,35.65,0.037833,-0.016249,
2026-03-24T20:26:30.920,frame,18.241,34.99,0.037139,-0.016422,
2026-03-24T20:26:30.966,frame,29.645,33.68,0.036586,-0.016753,
2026-03-24T20:26:30.998,frame,30.779,33.37,0.035897,-0.016316,
2026-03-24T20:26:31.010,frame,6.808,38.28,0.035732,-0.016388,
2026-03-24T20:26:31.026,frame,10.832,39.39,0.035015,-0.016596,
2026-03-24T20:26:31.079,frame,43.311,37.49,0.035542,-0.016385,
2026-03-24T20:26:31.124,frame,47.024,35.75,0.035664,-0.015793,
2026-03-24T20:26:31.158,frame,21.361,35.72,0.035013,-0.015297,
2026-03-24T20:26:31.173,frame,6.226,38.44,0.035122,-0.015177,
2026-03-24T20:26:31.190,frame,7.087,40.64,0.035596,-0.015069,
2026-03-24T20:26:31.240,frame,41.269,38.6,0.035346,-0.014969,
2026-03-24T20:26:31.288,frame,36.793,36.79,0.034799,-0.015175,
2026-03-24T20:26:31.316,frame,17.411,36.37,0.034828,-0.014561,
2026-03-24T20:26:31.349,frame,14.32,35.96,0.034925,-0.014328,
2026-03-24T20:26:31.398,frame,46.675,34.41,0.034731,-0.014804,
2026-03-24T20:26:31.407,frame,5.947,43.22,0.034739,-0.014812,
2026-03-24T20:26:31.425,frame,13.178,43.36,0.034659,-0.014068,
2026-03-24T20:26:31.477,frame,41.494,41.08,0.034795,-0.014214,
2026-03-24T20:26:31.527,frame,45.397,38.99,0.035404,-0.015109,
2026-03-24T20:26:31.559,frame,23.599,38.28,0.034587,-0.014918,
2026-03-24T20:26:31.574,frame,5.752,40.97,0.034444,-0.015168,
2026-03-24T20:26:31.608,frame,23.421,39.82,0.034643,-0.014539,
2026-03-24T20:26:31.638,frame,18.703,39.13,0.034961,-0.014327,
2026-03-24T20:26:31.671,frame,19.274,38.27,0.035303,-0.014543,
2026-03-24T20:26:31.721,frame,35.636,36.46,0.035331,-0.01381,
2026-03-24T20:26:31.765,frame,28.625,35.07,0.035607,-0.013812,
2026-03-24T20:26:31.798,frame,28.999,34.56,0.035647,-0.013457,
2026-03-24T20:26:31.806,frame,6.032,43.84,0.035999,-0.013301,
2026-03-24T20:26:31.847,frame,30.683,41.95,0.036272,-0.013227,
2026-03-24T20:26:31.880,frame,28.267,40.78,0.036629,-0.01297,
2026-03-24T20:26:31.910,frame,25.6,39.92,0.036299,-0.012652,
2026-03-24T20:26:31.958,frame,38.755,38.02,0.036778,-0.012901,
2026-03-24T20:26:31.975,frame,6.352,39.9,0.036848,-0.012898,
2026-03-24T20:26:31.990,frame,5.51,42.8,0.036705,-0.012525,
2026-03-24T20:26:32.040,frame,39.147,40.57,0.037694,-0.013015,
2026-03-24T20:26:32.086,frame,32.804,38.69,0.037559,-0.012866,
2026-03-24T20:26:32.120,frame,19.193,37.69,0.037765,-0.012614,
2026-03-24T20:26:32.169,frame,33.893,35.95,0.037813,-0.012353,
2026-03-24T20:26:32.198,frame,13.152,35.81,0.037381,-0.012155,
2026-03-24T20:26:32.209,frame,5.878,41.62,0.03745,-0.01215,
2026-03-24T20:26:32.246,frame,26.321,40.16,0.037632,-0.012495,
2026-03-24T20:26:32.280,frame,28.086,39.13,0.037338,-0.012761,
2026-03-24T20:26:32.324,frame,43.099,37.27,0.037546,-0.0128,
2026-03-24T20:26:32.357,frame,21.632,36.9,0.037386,-0.012666,
2026-03-24T20:26:32.373,frame,6.296,39.98,0.037332,-0.012629,
